best_fitness,best_fitness_ever,best_iparams_ever,best_params,generation
5.243872287606848,5.243872287606848,"[0.7093947807097245, -1.3419359861672198, -0.38415612172610825, 1.6800960507053078, -1.9325935183909202, 1.9504422029450095, 0.8164577756133649, 1.2159799525902013, 1.9280338590011872, 1.6213707514608817, -0.31479375723463665, 1.2386359107029046, 1.7223054622799476, -0.5722756377237563, 0.835141967224144, -0.4687610277332508, -0.7842743056943026, 1.2281043498562396, 0.674006037398025, 0.7988470262764431, -1.3420951728541977, -0.2619536928715298, -1.4524275626628733, 0.031423632920919875, 0.17564136544406228, -0.3481789164298186, -0.1134329881325149, -0.3390381014758419, -2.9821469243361896, -0.6958905195182932, 1.4922597347160407, 0.1322115853256416, -3.082670707615917, -1.8465271417324483, -1.8357317538831763, -2.9893231181715363, -0.7143888410548622, -1.6461744362391837, -0.37279065957660595, 1.5134735333200862]","[0.7093947807097245, -1.3419359861672198, -0.38415612172610825, 1.6800960507053078, -1.9325935183909202, 1.9504422029450095, 0.8164577756133649, 1.2159799525902013, 1.9280338590011872, 1.6213707514608817, -0.31479375723463665, 1.2386359107029046, 1.7223054622799476, -0.5722756377237563, 0.835141967224144, -0.4687610277332508, -0.7842743056943026, 1.2281043498562396, 0.674006037398025, 0.7988470262764431, -1.3420951728541977, -0.2619536928715298, -1.4524275626628733, 0.031423632920919875, 0.17564136544406228, -0.3481789164298186, -0.1134329881325149, -0.3390381014758419, -2.9821469243361896, -0.6958905195182932, 1.4922597347160407, 0.1322115853256416, -3.082670707615917, -1.8465271417324483, -1.8357317538831763, -2.9893231181715363, -0.7143888410548622, -1.6461744362391837, -0.37279065957660595, 1.5134735333200862]",1
5.243872287606848,5.216716406356383,2,"[0.7093947807097245, -1.3419359861672198, -0.38415612172610825, 1.6800960507053078, -1.9325935183909202, 1.9504422029450095, 0.8164577756133649, 1.2159799525902013, 1.9280338590011872, 1.6213707514608817, -0.31479375723463665, 1.2386359107029046, 1.7223054622799476, -0.5722756377237563, 0.835141967224144, -0.4687610277332508, -0.7842743056943026, 1.2281043498562396, 0.674006037398025, 0.7988470262764431, -1.3420951728541977, -0.2619536928715298, -1.4524275626628733, 0.031423632920919875, 0.17564136544406228, -0.3481789164298186, -0.1134329881325149, -0.3390381014758419, -2.9821469243361896, -0.6958905195182932, 1.4922597347160407, 0.1322115853256416, -3.082670707615917, -1.8465271417324483, -1.8357317538831763, -2.9893231181715363, -0.7143888410548622, -1.6461744362391837, -0.37279065957660595, 1.5134735333200862]","[0.2210063268417283, -0.7019421380348758, -1.482280756980677, -1.1291661052810227, -0.10112916962506135, 0.5983280005548446, -1.7747097924454174, 0.5787518129218991, 0.5702932547758359, -0.9564215971888053, -0.04868854092528041, 1.91012227903901, 1.8493107817515804, 0.6243993116308362, 1.4097858298400148, -1.1041837979592106, -0.7606669966882587, 1.3232352540999872, -0.6265344890380724, -0.4000780833131632, -0.7105894914061617, 1.0267231235228507, -0.6344028972536438, -1.1713791495266972, 0.17564136544406228, -0.3481789164298186, -0.1134329881325149, -0.3390381014758419, -2.9821469243361896, -0.6958905195182932, 1.4922597347160407, 0.1322115853256416, -3.082670707615917, -1.8465271417324483, -1.8357317538831763, -2.9893231181715363, -0.7143888410548622, -1.6461744362391837, -0.37279065957660595, 1.5134735333200862]"
