best_params,best_fitness,best_iparams_ever,best_fitness_ever,generation
"[0.5809266097834765, 0.5208762172755406, -0.38415612172610825, 1.6800960507053078, -1.9325935183909202, 1.9504422029450095, 0.8164577756133649, 1.2159799525902013, 0.9522349532508922, -0.9381828769471686, 1.003479101352288, 0.4805659903115349, -1.1076283155029127, 1.1351561151396994, -0.18838150126811515, 1.3903972754994909, -2.615904234746526, 1.127610463430952, -3.1080199276122413, -2.7405472064598784, -2.4792654304983373, -2.854325260968717, 1, -1, -1, -1, -1, 1, 1]",7.137480831319989,"[0.5809266097834765, 0.5208762172755406, -0.38415612172610825, 1.6800960507053078, -1.9325935183909202, 1.9504422029450095, 0.8164577756133649, 1.2159799525902013, 0.9522349532508922, -0.9381828769471686, 1.003479101352288, 0.4805659903115349, -1.1076283155029127, 1.1351561151396994, -0.18838150126811515, 1.3903972754994909, -2.615904234746526, 1.127610463430952, -3.1080199276122413, -2.7405472064598784, -2.4792654304983373, -2.854325260968717, 1, -1, -1, -1, -1, 1, 1]",7.137480831319989,1
7.231590150607825,7.231590150607825,"[0.5809266097834765, 0.5208762172755406, -0.38415612172610825, 1.6800960507053078, -1.9325935183909202, 1.9504422029450095, 0.8164577756133649, 1.2159799525902013, 0.9522349532508922, -0.9381828769471686, 1.003479101352288, 0.4805659903115349, -1.1076283155029127, 1.1351561151396994, -0.18838150126811515, 1.3903972754994909, -2.615904234746526, 1.127610463430952, -3.1080199276122413, -2.7405472064598784, -2.4792654304983373, -2.854325260968717, 1, -1, -1, -1, -1, 1, 1]",2,"[0.5809266097834765, 0.5208762172755406, -0.38415612172610825, 1.6800960507053078, -1.9325935183909202, 1.9504422029450095, 0.8164577756133649, 1.2159799525902013, 0.9522349532508922, -0.9381828769471686, 1.003479101352288, 0.4805659903115349, -1.1076283155029127, 1.1351561151396994, -0.18838150126811515, 1.3903972754994909, -2.615904234746526, 1.127610463430952, -3.1080199276122413, -2.7405472064598784, -2.4792654304983373, -2.854325260968717, 1, -1, -1, -1, -1, 1, 1]"
