best_iparams_ever,generation,best_params,best_fitness,best_fitness_ever
"[0.2501452062730734, -1.757434893293743, -0.27390522304076603, -0.8854883623707375, 1.179346142358193, -1.2659610962364605, -0.020157860798188043, 0.11600666445564434, -0.7047543995126411, -0.7482197256671479, -0.43937148736197673, -1.3522652222868252, 0.9954811804082815, -0.36961008110835714, -1.4726488245834886, 0.09812807182678918, -0.3127508652263906, -0.05588028260538347, -0.5436394532338997, -2.6551504921558955, -2.460292854507913, -3.1192867299065155, -2.0149281415637543, 0.486983355232244, 2.854241789935666, -0.052550827409343484, 1.6877377238665092, -3.0405934587955117, -1, -1, 1, 1, -1, -1, -1, -1, -1]",1,"[0.2501452062730734, -1.757434893293743, -0.27390522304076603, -0.8854883623707375, 1.179346142358193, -1.2659610962364605, -0.020157860798188043, 0.11600666445564434, -0.7047543995126411, -0.7482197256671479, -0.43937148736197673, -1.3522652222868252, 0.9954811804082815, -0.36961008110835714, -1.4726488245834886, 0.09812807182678918, -0.3127508652263906, -0.05588028260538347, -0.5436394532338997, -2.6551504921558955, -2.460292854507913, -3.1192867299065155, -2.0149281415637543, 0.486983355232244, 2.854241789935666, -0.052550827409343484, 1.6877377238665092, -3.0405934587955117, -1, -1, 1, 1, -1, -1, -1, -1, -1]",5.423168481492163,5.423168481492163
"[0.2501452062730734, -1.757434893293743, -0.27390522304076603, -0.8854883623707375, 1.179346142358193, -1.2659610962364605, -0.020157860798188043, 0.11600666445564434, -0.7047543995126411, -0.7482197256671479, -0.43937148736197673, -1.3522652222868252, 0.9954811804082815, -0.36961008110835714, -1.4726488245834886, 0.09812807182678918, -0.3127508652263906, -0.05588028260538347, -0.5436394532338997, -2.6551504921558955, -2.460292854507913, -3.1192867299065155, -2.0149281415637543, 0.486983355232244, 2.854241789935666, -0.052550827409343484, 1.6877377238665092, -3.0405934587955117, -1, -1, 1, 1, -1, -1, -1, -1, -1]",5.423168481492163,"[0.2501452062730734, -1.757434893293743, -0.27390522304076603, -0.8854883623707375, 1.179346142358193, -1.2659610962364605, -0.020157860798188043, 0.11600666445564434, -0.7047543995126411, -0.7482197256671479, -0.43937148736197673, -1.3522652222868252, 0.9954811804082815, -0.36961008110835714, -1.4726488245834886, 0.09812807182678918, -0.3127508652263906, -0.05588028260538347, -0.5436394532338997, -2.6551504921558955, -2.460292854507913, -3.1192867299065155, -2.0149281415637543, 0.486983355232244, 2.854241789935666, -0.052550827409343484, 1.6877377238665092, -3.0405934587955117, -1, -1, 1, 1, -1, -1, -1, -1, -1]",2,5.423168481492163
