best_params,best_fitness_ever,best_iparams_ever,best_fitness,generation
"[0.9547122039600817, 0.6095871974383593, -1.1848036153486534, 1.5762009845196663, 0.8204904881062176, 0.1865516595095511, -0.4071586346574665, 1.6921935973975883, -0.7623435562250478, -1.9377882508831417, 0.5067322379738557, -0.8846164700490542, -0.24624520747136014, 0.06920428147706659, -1.4805019387405962, -1.3801379035701093, -0.21637145314257356, -0.3729542310795899, -1.5028407224182514, -1.0417993268177346, -0.06674515582547791, -0.13388646352309652, 1.5205325690752272, 0.17152076670537308, 0.05835532365346707, -1.10497836674971, -0.18834874909223487, 1.6523754477153796, -0.2486264139801917, -0.8135301768733019, 2.602505596996351, -1.4151337200546419, 0.14873860322168841, -2.3096336601840113, 1.0803737653700054, -0.4373802969619516, 1.3626807294682353, 0.5881858163100127, 2.718515454920314, -2.7382518263724376, -1, 1, -1, -1, 1, 1, -1, 1, -1, 1, -1, 1, -1]",5.603682997775581,"[0.9547122039600817, 0.6095871974383593, -1.1848036153486534, 1.5762009845196663, 0.8204904881062176, 0.1865516595095511, -0.4071586346574665, 1.6921935973975883, -0.7623435562250478, -1.9377882508831417, 0.5067322379738557, -0.8846164700490542, -0.24624520747136014, 0.06920428147706659, -1.4805019387405962, -1.3801379035701093, -0.21637145314257356, -0.3729542310795899, -1.5028407224182514, -1.0417993268177346, -0.06674515582547791, -0.13388646352309652, 1.5205325690752272, 0.17152076670537308, 0.05835532365346707, -1.10497836674971, -0.18834874909223487, 1.6523754477153796, -0.2486264139801917, -0.8135301768733019, 2.602505596996351, -1.4151337200546419, 0.14873860322168841, -2.3096336601840113, 1.0803737653700054, -0.4373802969619516, 1.3626807294682353, 0.5881858163100127, 2.718515454920314, -2.7382518263724376, -1, 1, -1, -1, 1, 1, -1, 1, -1, 1, -1, 1, -1]",5.603682997775581,1
5.755961218496693,5.755961218496693,2,"[0.9547122039600817, 0.6095871974383593, -1.1848036153486534, 1.5762009845196663, 0.8204904881062176, 0.1865516595095511, -0.4071586346574665, 1.6921935973975883, -0.7623435562250478, -1.9377882508831417, 0.5067322379738557, -0.8846164700490542, -0.24624520747136014, 0.06920428147706659, -1.4805019387405962, -1.367427410925055, -0.21637145314257356, -0.3729542310795899, -1.5028407224182514, -1.0417993268177346, -0.06674515582547791, -0.13388646352309652, 1.5205325690752272, 0.17152076670537308, 0.05835532365346707, -1.10497836674971, -0.18834874909223487, 1.6523754477153796, -0.2486264139801917, -0.8135301768733019, 2.602505596996351, -1.4151337200546419, 0.14873860322168841, -2.3096336601840113, 1.0803737653700054, -0.4373802969619516, 1.3626807294682353, 0.5881858163100127, 2.718515454920314, -2.7382518263724376, -1, 1, -1, -1, 1, 1, -1, 1, -1, 1, -1, 1, -1]","[0.9547122039600817, 0.6095871974383593, -1.1848036153486534, 1.5762009845196663, 0.8204904881062176, 0.1865516595095511, -0.4071586346574665, 1.6921935973975883, -0.7623435562250478, -1.9377882508831417, 0.5067322379738557, -0.8846164700490542, -0.24624520747136014, 0.06920428147706659, -1.4805019387405962, -1.367427410925055, -0.21637145314257356, -0.3729542310795899, -1.5028407224182514, -1.0417993268177346, -0.06674515582547791, -0.13388646352309652, 1.5205325690752272, 0.17152076670537308, 0.05835532365346707, -1.10497836674971, -0.18834874909223487, 1.6523754477153796, -0.2486264139801917, -0.8135301768733019, 2.602505596996351, -1.4151337200546419, 0.14873860322168841, -2.3096336601840113, 1.0803737653700054, -0.4373802969619516, 1.3626807294682353, 0.5881858163100127, 2.718515454920314, -2.7382518263724376, -1, 1, -1, -1, 1, 1, -1, 1, -1, 1, -1, 1, -1]"
