best_params,generation,best_fitness_ever,best_fitness,best_iparams_ever
"[0.5906073218383058, -1.817341997266487, 1.133532812062736, 0.05068275600590111, -1.9110298190735482, 0.905378010819057, -0.8077468560778978, -1.4914462550556342, -1.556000974174967, 1.676890954677078, -1.3943724596153224, -1.0392119952156567, -0.5243379987493539, 0.1940215642198142, 1.0466235432515778, 1.4791834294487107, -0.08464050670517587, 0.5452125396044605, -0.5728926306532494, 0.09459521849812758, -2.906850475411432, 1.5502979976797482, -1.8504008149926197, -0.49118805696206946, 2.6013554985017855, -1.3560925255992067, -1.1818642046637446, 1.6135285681729927]",1,5.670180112965442,5.670180112965442,"[0.5906073218383058, -1.817341997266487, 1.133532812062736, 0.05068275600590111, -1.9110298190735482, 0.905378010819057, -0.8077468560778978, -1.4914462550556342, -1.556000974174967, 1.676890954677078, -1.3943724596153224, -1.0392119952156567, -0.5243379987493539, 0.1940215642198142, 1.0466235432515778, 1.4791834294487107, -0.08464050670517587, 0.5452125396044605, -0.5728926306532494, 0.09459521849812758, -2.906850475411432, 1.5502979976797482, -1.8504008149926197, -0.49118805696206946, 2.6013554985017855, -1.3560925255992067, -1.1818642046637446, 1.6135285681729927]"
5.86915301786598,"[0.5906073218383058, -1.817341997266487, 1.133532812062736, 0.05068275600590111, -1.9110298190735482, 0.905378010819057, -0.8077468560778978, -1.4914462550556342, -1.556000974174967, 1.676890954677078, -1.3943724596153224, -1.0392119952156567, -0.5243379987493539, 0.1940215642198142, 1.0466235432515778, 1.4791834294487107, 0.04299293480336175, 0.6379026783472255, -1.0485918971161952, 0.09459521849812758, -2.906850475411432, 1.5502979976797482, -1.8504008149926197, -0.49118805696206946, 2.6013554985017855, -1.3560925255992067, -1.1818642046637446, 1.6135285681729927]",2,5.86915301786598,"[0.5906073218383058, -1.817341997266487, 1.133532812062736, 0.05068275600590111, -1.9110298190735482, 0.905378010819057, -0.8077468560778978, -1.4914462550556342, -1.556000974174967, 1.676890954677078, -1.3943724596153224, -1.0392119952156567, -0.5243379987493539, 0.1940215642198142, 1.0466235432515778, 1.4791834294487107, 0.04299293480336175, 0.6379026783472255, -1.0485918971161952, 0.09459521849812758, -2.906850475411432, 1.5502979976797482, -1.8504008149926197, -0.49118805696206946, 2.6013554985017855, -1.3560925255992067, -1.1818642046637446, 1.6135285681729927]"
