best_fitness,generation,best_fitness_ever,best_iparams_ever,best_params
10.227478351842533,1,10.227478351842533,"[0.24492596886562756, -1.3231658076717028, -0.6676078748149736, 0.24703592809604036, 1.3326024837187416, 1.883354836291073, -0.10776764022345153, 0.6941861657098851, -0.5728926306532494, 0.04729760924906379, -1.453425237705716, 0.7751489988398741, 0.11114208360250455, 0.5405010391563265, 1.0760629021983275, 2.029500206785487, 3.0250336963375792, 1.4380846944039414, -2.4545318200170763, -1.0796030526007674, 0.7748610572902344, -2.336630108609821]","[0.24492596886562756, -1.3231658076717028, -0.6676078748149736, 0.24703592809604036, 1.3326024837187416, 1.883354836291073, -0.10776764022345153, 0.6941861657098851, -0.5728926306532494, 0.04729760924906379, -1.453425237705716, 0.7751489988398741, 0.11114208360250455, 0.5405010391563265, 1.0760629021983275, 2.029500206785487, 3.0250336963375792, 1.4380846944039414, -2.4545318200170763, -1.0796030526007674, 0.7748610572902344, -2.336630108609821]"
"[0.24492596886562756, -1.3231658076717028, -0.6676078748149736, 0.24703592809604036, 1.3326024837187416, 1.9021862961257825, -0.10776764022345153, 0.6941861657098851, -0.5728926306532494, 0.04729760924906379, -1.453425237705716, 0.7751489988398741, 0.11114208360250455, 0.5405010391563265, 1.0760629021983275, 2.050763453314832, -2.9820655601369426, 1.4401427432960343, -2.4545318200170763, -1.0796030526007674, 0.7748610572902344, -2.336630108609821]",10.66624038361565,"[0.24492596886562756, -1.3231658076717028, -0.6676078748149736, 0.24703592809604036, 1.3326024837187416, 1.9021862961257825, -0.10776764022345153, 0.6941861657098851, -0.5728926306532494, 0.04729760924906379, -1.453425237705716, 0.7751489988398741, 0.11114208360250455, 0.5405010391563265, 1.0760629021983275, 2.050763453314832, -2.9820655601369426, 1.4401427432960343, -2.4545318200170763, -1.0796030526007674, 0.7748610572902344, -2.336630108609821]",10.66624038361565,2
