best_fitness,best_fitness_ever,generation,best_params,best_iparams_ever
6.63197269868895,6.63197269868895,1,"[0.30913889602117905, -0.3295556006260312, 0.7163717749465475, 1.719209888891529, 0.6371763240307455, 0.4557141890654699, -1.3136558716839821, 1.9337621684635362, 0.8377322092388413, 0.6035595581347537, -0.07395853087394144, 0.20049080322491175, -1.3106917553366566, -0.6378758832396191, -1.4910327800684713]","[0.30913889602117905, -0.3295556006260312, 0.7163717749465475, 1.719209888891529, 0.6371763240307455, 0.4557141890654699, -1.3136558716839821, 1.9337621684635362, 0.8377322092388413, 0.6035595581347537, -0.07395853087394144, 0.20049080322491175, -1.3106917553366566, -0.6378758832396191, -1.4910327800684713]"
6.609951989913611,"[0.30913889602117905, -0.3295556006260312, 0.7163717749465475, 1.719209888891529, 0.6371763240307455, 0.4557141890654699, -1.3136558716839821, 1.9337621684635362, 0.8377322092388413, 0.6035595581347537, -0.07395853087394144, 0.20049080322491175, -1.3106917553366566, -0.6378758832396191, -1.4910327800684713]",6.63197269868895,2,"[0.30913889602117905, -0.3295556006260312, 0.7163717749465475, 1.719209888891529, 0.6371763240307455, 0.4557141890654699, -1.3136558716839821, 1.9337621684635362, 0.8377322092388413, 0.6035595581347537, -0.07395853087394144, 0.20049080322491175, -1.3106917553366566, -0.6378758832396191, -1.4910327800684713]"
