best_params,best_fitness,best_iparams_ever,generation,best_fitness_ever
"[0.5374599941974265, 1.656074345303363, -0.8633153149563455, -0.7523981209424258, 1.0272041897788804, -0.11566162032652905, 1.6520233247446985, 0.05463778652776474, -0.895386802419043, 1.582848422076744, 0.4486311603471309, -0.17565831578956148, 1.3179880362560925, -0.6790253776938182, -0.927974989450087, -0.9188338159431343, -0.755001958072533, 0.9284038794166589, 0.9826017103578102, -1.0307786679973723, -1.4652630321325568, -0.9849463730802551, -1.5426812336940066, 0.2881839700611357, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]",6.033894601756984,"[0.5374599941974265, 1.656074345303363, -0.8633153149563455, -0.7523981209424258, 1.0272041897788804, -0.11566162032652905, 1.6520233247446985, 0.05463778652776474, -0.895386802419043, 1.582848422076744, 0.4486311603471309, -0.17565831578956148, 1.3179880362560925, -0.6790253776938182, -0.927974989450087, -0.9188338159431343, -0.755001958072533, 0.9284038794166589, 0.9826017103578102, -1.0307786679973723, -1.4652630321325568, -0.9849463730802551, -1.5426812336940066, 0.2881839700611357, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]",1,6.033894601756984
6.140691465147172,2,"[0.5374599941974265, -1.1449704082052437, 0.9695693295385266, 1.6800960507053078, -1.9325935183909202, 1.9504422029450095, 1.6520233247446985, 0.05463778652776474, -0.895386802419043, 1.582848422076744, 0.4486311603471309, -0.17565831578956148, 1.3179880362560925, -0.6790253776938182, -0.927974989450087, -0.9188338159431343, -0.755001958072533, 0.9284038794166589, 0.9826017103578102, -1.0307786679973723, -1.4652630321325568, -0.9849463730802551, -1.5426812336940066, 0.2881839700611357, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]",6.140691465147172,"[0.5374599941974265, -1.1449704082052437, 0.9695693295385266, 1.6800960507053078, -1.9325935183909202, 1.9504422029450095, 1.6520233247446985, 0.05463778652776474, -0.895386802419043, 1.582848422076744, 0.4486311603471309, -0.17565831578956148, 1.3179880362560925, -0.6790253776938182, -0.927974989450087, -0.9188338159431343, -0.755001958072533, 0.9284038794166589, 0.9826017103578102, -1.0307786679973723, -1.4652630321325568, -0.9849463730802551, -1.5426812336940066, 0.2881839700611357, -0.5288088874920305, 0.4295922992734207, -1.053954058932678]"
