best_fitness_ever,best_fitness,best_iparams_ever,generation,best_params
6.007276826931781,6.007276826931781,"[0.7248914655367396, -0.8583307101347093, 0.45232903179571604, -1.7694783153189992, -0.6513284024086827, 1.8624340430089128, 1.778537816353741, -1.3433107993344375, -0.548853362634468, 1.216452437057535, -0.8560923625353314, 0.7376877396889014, 1.662103219357821, 1.4465705929879968, -0.689960658802167, 1.2776356439061796, 0.26233742705572505, 0.21750724596472848, -0.08671484848997313, -0.2392739090771383, 0.8327025087810704, -0.043888286503285245, 0.1396563596167395, 0.32075815952571696, -1.298954903652898, 0.11776019230114243, -1.1447090745081792, 0.5360207233922174, 0.8880647518900133, 2.3681047753532853, 2.9582596173558553, -3.049702781876799, 0.6893972666453405, 1.6834689693719795, 1.5611813959001566, -0.5181106592617342, -2.547176808371161, -2.0219846185992156, -2.5836195646297253, -1.8189721338359093, -1, -1, -1, -1, -1, -1, 1, 1, -1, -1, -1, 1, 1]",1,"[0.7248914655367396, -0.8583307101347093, 0.45232903179571604, -1.7694783153189992, -0.6513284024086827, 1.8624340430089128, 1.778537816353741, -1.3433107993344375, -0.548853362634468, 1.216452437057535, -0.8560923625353314, 0.7376877396889014, 1.662103219357821, 1.4465705929879968, -0.689960658802167, 1.2776356439061796, 0.26233742705572505, 0.21750724596472848, -0.08671484848997313, -0.2392739090771383, 0.8327025087810704, -0.043888286503285245, 0.1396563596167395, 0.32075815952571696, -1.298954903652898, 0.11776019230114243, -1.1447090745081792, 0.5360207233922174, 0.8880647518900133, 2.3681047753532853, 2.9582596173558553, -3.049702781876799, 0.6893972666453405, 1.6834689693719795, 1.5611813959001566, -0.5181106592617342, -2.547176808371161, -2.0219846185992156, -2.5836195646297253, -1.8189721338359093, -1, -1, -1, -1, -1, -1, 1, 1, -1, -1, -1, 1, 1]"
6.007276826931781,6.007276826931781,"[0.7248914655367396, -0.8583307101347093, 0.45232903179571604, -1.7694783153189992, -0.6513284024086827, 1.8624340430089128, 1.778537816353741, -1.3433107993344375, -0.548853362634468, 1.216452437057535, -0.8560923625353314, 0.7376877396889014, 1.662103219357821, 1.4465705929879968, -0.689960658802167, 1.2776356439061796, 0.26233742705572505, 0.21750724596472848, -0.08671484848997313, -0.2392739090771383, 0.8327025087810704, -0.043888286503285245, 0.1396563596167395, 0.32075815952571696, -1.298954903652898, 0.11776019230114243, -1.1447090745081792, 0.5360207233922174, 0.8880647518900133, 2.3681047753532853, 2.9582596173558553, -3.049702781876799, 0.6893972666453405, 1.6834689693719795, 1.5611813959001566, -0.5181106592617342, -2.547176808371161, -2.0219846185992156, -2.5836195646297253, -1.8189721338359093, -1, -1, -1, -1, -1, -1, 1, 1, -1, -1, -1, 1, 1]","[0.7248914655367396, -0.8583307101347093, 0.45232903179571604, -1.7694783153189992, -0.6513284024086827, 1.8624340430089128, 1.778537816353741, -1.3433107993344375, -0.548853362634468, 1.216452437057535, -0.8560923625353314, 0.7376877396889014, 1.662103219357821, 1.4465705929879968, -0.689960658802167, 1.2776356439061796, 0.26233742705572505, 0.21750724596472848, -0.08671484848997313, -0.2392739090771383, 0.8327025087810704, -0.043888286503285245, 0.1396563596167395, 0.32075815952571696, -1.298954903652898, 0.11776019230114243, -1.1447090745081792, 0.5360207233922174, 0.8880647518900133, 2.3681047753532853, 2.9582596173558553, -3.049702781876799, 0.6893972666453405, 1.6834689693719795, 1.5611813959001566, -0.5181106592617342, -2.547176808371161, -2.0219846185992156, -2.5836195646297253, -1.8189721338359093, -1, -1, -1, -1, -1, -1, 1, 1, -1, -1, -1, 1, 1]",2
6.007276826931781,5.90929512110387,"[0.7248914655367396, -0.8583307101347093, 0.45232903179571604, -1.7694783153189992, -0.6513284024086827, 1.8624340430089128, 1.778537816353741, -1.3433107993344375, -0.548853362634468, 1.216452437057535, -0.8560923625353314, 0.7376877396889014, 1.662103219357821, 1.4465705929879968, -0.689960658802167, 1.2776356439061796, 0.26233742705572505, 0.21750724596472848, -0.08671484848997313, -0.2392739090771383, 0.8327025087810704, -0.043888286503285245, 0.1396563596167395, 0.32075815952571696, -1.298954903652898, 0.11776019230114243, -1.1447090745081792, 0.5360207233922174, 0.8880647518900133, 2.3681047753532853, 2.9582596173558553, -3.049702781876799, 0.6893972666453405, 1.6834689693719795, 1.5611813959001566, -0.5181106592617342, -2.547176808371161, -2.0219846185992156, -2.5836195646297253, -1.8189721338359093, -1, -1, -1, -1, -1, -1, 1, 1, -1, -1, -1, 1, 1]","[0.7248914655367396, -0.8583307101347093, 0.45232903179571604, -1.7694783153189992, -0.6513284024086827, 1.8624340430089128, 1.778537816353741, -1.3433107993344375, -0.548853362634468, 1.216452437057535, -0.8560923625353314, 0.7376877396889014, 1.662103219357821, 1.4465705929879968, -0.689960658802167, 1.2776356439061796, 0.26233742705572505, 0.21750724596472848, -0.08671484848997313, -0.2392739090771383, 0.8327025087810704, -0.043888286503285245, 0.1396563596167395, 0.32075815952571696, -1.298954903652898, 0.11776019230114243, -1.1447090745081792, 0.5360207233922174, 0.8880647518900133, 2.3681047753532853, 2.9582596173558553, -3.049702781876799, 0.6893972666453405, 1.6834689693719795, 1.5611813959001566, -0.5181106592617342, -2.547176808371161, -2.0219846185992156, -2.5836195646297253, -1.8189721338359093, -1, -1, -1, -1, -1, -1, 1, 1, -1, -1, -1, 1, 1]",3
6.007276826931781,5.929079688196491,"[0.9781131825133558, -1.1384954593806649, -1.3935713269739392, -1.2732568716192154, 0.4745738538674966, 1.4740079505385633, 1.288890029965473, -1.4352574280110173, -0.7328717526145216, -1.8763626966051459, -1.8125491582154258, -1.9649441588365657, 1.6037641637116828, 0.3036741495583697, 0.977143327249276, -0.3875241814087427, -0.43388248800485973, -0.061274083748325436, -0.1459716613016473, 1.1508568057033401, 0.929678471296858, -0.7756527510516206, -0.33058607785839267, -0.15587354532296094, -1.1087490409089718, 0.6446034188727743, -0.31166665138037497, 0.537816038381413, 1.0278336050008212, 0.1971060669072684, 0.3393871743828334, -0.5288475789642235, -1.3741390304854242, -2.5091839238894247, 2.4792524528944435, -0.5403384285272659, 1.0126787835497186, 2.771042621055444, -0.820320194112063, -1.326690057514212, 1, -1, 1, 1, -1, 1, -1, -1, -1, 1, 1, -1, 1]","[0.7248914655367396, -0.8583307101347093, 0.45232903179571604, -1.7694783153189992, -0.6513284024086827, 1.8624340430089128, 1.778537816353741, -1.3433107993344375, -0.548853362634468, 1.216452437057535, -0.8560923625353314, 0.7376877396889014, 1.662103219357821, 1.4465705929879968, -0.689960658802167, 1.2776356439061796, 0.26233742705572505, 0.21750724596472848, -0.08671484848997313, -0.2392739090771383, 0.8327025087810704, -0.043888286503285245, 0.1396563596167395, 0.32075815952571696, -1.298954903652898, 0.11776019230114243, -1.1447090745081792, 0.5360207233922174, 0.8880647518900133, 2.3681047753532853, 2.9582596173558553, -3.049702781876799, 0.6893972666453405, 1.6834689693719795, 1.5611813959001566, -0.5181106592617342, -2.547176808371161, -2.0219846185992156, -2.5836195646297253, -1.8189721338359093, -1, -1, -1, -1, -1, -1, 1, 1, -1, -1, -1, 1, 1]",4
6.007276826931781,5.923741427679852,"[0.9695210373494939, -1.1384954593806649, -1.3935713269739392, -1.2732568716192154, 0.4745738538674966, 1.4740079505385633, 1.288890029965473, -1.4352574280110173, -0.7328717526145216, -1.8763626966051459, -1.8125491582154258, -1.9649441588365657, 1.6037641637116828, 0.3036741495583697, 0.977143327249276, -0.3875241814087427, -0.43388248800485973, -0.061274083748325436, -0.1459716613016473, 1.149493025378247, 0.929678471296858, -0.7756527510516206, -0.33058607785839267, -0.15587354532296094, -1.1087490409089718, 0.6446034188727743, -0.31166665138037497, 0.537816038381413, 1.0278336050008212, 0.1971060669072684, 0.3393871743828334, -0.5288475789642235, -1.3741390304854242, 0.8754954577780234, 2.4792524528944435, -0.5403384285272659, 1.0126787835497186, 2.771042621055444, -0.820320194112063, -1.326690057514212, 1, -1, 1, 1, -1, 1, -1, -1, -1, 1, 1, -1, 1]","[0.7248914655367396, -0.8583307101347093, 0.45232903179571604, -1.7694783153189992, -0.6513284024086827, 1.8624340430089128, 1.778537816353741, -1.3433107993344375, -0.548853362634468, 1.216452437057535, -0.8560923625353314, 0.7376877396889014, 1.662103219357821, 1.4465705929879968, -0.689960658802167, 1.2776356439061796, 0.26233742705572505, 0.21750724596472848, -0.08671484848997313, -0.2392739090771383, 0.8327025087810704, -0.043888286503285245, 0.1396563596167395, 0.32075815952571696, -1.298954903652898, 0.11776019230114243, -1.1447090745081792, 0.5360207233922174, 0.8880647518900133, 2.3681047753532853, 2.9582596173558553, -3.049702781876799, 0.6893972666453405, 1.6834689693719795, 1.5611813959001566, -0.5181106592617342, -2.547176808371161, -2.0219846185992156, -2.5836195646297253, -1.8189721338359093, -1, -1, -1, -1, -1, -1, 1, 1, -1, -1, -1, 1, 1]",5
6.007276826931781,5.84036017150806,"[0.6957280026908702, -1.9646371418397721, -0.599482783638067, -1.6430992147014596, -1.2548891496980792, 1.4690090047286004, -1.1004751409111666, 1.286460004495415, 1.6895902934542324, 1.2090530486124336, 0.21751712781051102, -1.3201591200694338, -1.6256362547197982, -1.3219706557152646, -0.5653057331615228, -0.09695755229404712, -0.6042399728397487, -1.2030104272406823, 0.048351210950626555, 1.494842854664011, -0.2569133326574442, 1.0170401304568424, -1.095559134673977, -0.6277617005239541, 0.8682491574195126, 0.3312287205255162, 0.48921860295858055, -2.8162895770046816, -1.8636240161094788, -0.014084453133754948, -0.8258077822869301, -1.3703361190176435, 3.097601067225523, -2.8431110835434485, 1.7220092354048386, -1.5016845334522946, -0.8838423364909831, 0.4337789503299203, 0.5609206879793014, 1.2274589864316168, 1, -1, -1, -1, 1, -1, -1, -1, -1, -1, 1, 1, -1]","[0.7248914655367396, -0.8583307101347093, 0.45232903179571604, -1.7694783153189992, -0.6513284024086827, 1.8624340430089128, 1.778537816353741, -1.3433107993344375, -0.548853362634468, 1.216452437057535, -0.8560923625353314, 0.7376877396889014, 1.662103219357821, 1.4465705929879968, -0.689960658802167, 1.2776356439061796, 0.26233742705572505, 0.21750724596472848, -0.08671484848997313, -0.2392739090771383, 0.8327025087810704, -0.043888286503285245, 0.1396563596167395, 0.32075815952571696, -1.298954903652898, 0.11776019230114243, -1.1447090745081792, 0.5360207233922174, 0.8880647518900133, 2.3681047753532853, 2.9582596173558553, -3.049702781876799, 0.6893972666453405, 1.6834689693719795, 1.5611813959001566, -0.5181106592617342, -2.547176808371161, -2.0219846185992156, -2.5836195646297253, -1.8189721338359093, -1, -1, -1, -1, -1, -1, 1, 1, -1, -1, -1, 1, 1]",6
6.018319450253907,6.018319450253907,"[0.5815424184107527, 1.4884521406398266, -1.7456817518517522, 1.9599039000199134, 1.0704236340094981, 1.4690090047286004, -1.1004751409111666, 1.286460004495415, 1.6895902934542324, 1.2090530486124336, 1.9924512893366702, -0.006674643712919259, 1.6994354818602169, -1.03929932657753, 0.4984476454412783, 0.07285969942418857, -0.9565862234322051, -0.1481506544894906, -0.4755778262979149, -1.5522652110423025, -0.1884949298824421, -1.1026007974718601, -0.35787338190967577, -0.9666695591016446, 1.4565508032477545, 0.4705944887678011, -1.0798587116283374, 0.8768642807884008, 2.5735806907913537, -1.625995181253563, -0.6597750306171908, -0.43271625374226774, 0.5958278346577757, -1.0512584852353322, -0.6344951100479785, 1.2651495508456447, -1.8872465242360486, -2.706523483185099, 1.3455139750016798, -2.542894209795874, 1, -1, 1, 1, -1, 1, 1, 1, 1, -1, 1, -1, 1]","[0.5815424184107527, 1.4884521406398266, -1.7456817518517522, 1.9599039000199134, 1.0704236340094981, 1.4690090047286004, -1.1004751409111666, 1.286460004495415, 1.6895902934542324, 1.2090530486124336, 1.9924512893366702, -0.006674643712919259, 1.6994354818602169, -1.03929932657753, 0.4984476454412783, 0.07285969942418857, -0.9565862234322051, -0.1481506544894906, -0.4755778262979149, -1.5522652110423025, -0.1884949298824421, -1.1026007974718601, -0.35787338190967577, -0.9666695591016446, 1.4565508032477545, 0.4705944887678011, -1.0798587116283374, 0.8768642807884008, 2.5735806907913537, -1.625995181253563, -0.6597750306171908, -0.43271625374226774, 0.5958278346577757, -1.0512584852353322, -0.6344951100479785, 1.2651495508456447, -1.8872465242360486, -2.706523483185099, 1.3455139750016798, -2.542894209795874, 1, -1, 1, 1, -1, 1, 1, 1, 1, -1, 1, -1, 1]",7
6.018319450253907,6.018319450253907,"[0.5815424184107527, 1.4884521406398266, -1.7456817518517522, 1.9599039000199134, 1.0704236340094981, 1.4690090047286004, -1.1004751409111666, 1.286460004495415, 1.6895902934542324, 1.2090530486124336, 1.9924512893366702, -0.006674643712919259, 1.6994354818602169, -1.03929932657753, 0.4984476454412783, 0.07285969942418857, -0.9565862234322051, -0.1481506544894906, -0.4755778262979149, -1.5522652110423025, -0.1884949298824421, -1.1026007974718601, -0.35787338190967577, -0.9666695591016446, 1.4565508032477545, 0.4705944887678011, -1.0798587116283374, 0.8768642807884008, 2.5735806907913537, -1.625995181253563, -0.6597750306171908, -0.43271625374226774, 0.5958278346577757, -1.0512584852353322, -0.6344951100479785, 1.2651495508456447, -1.8872465242360486, -2.706523483185099, 1.3455139750016798, -2.542894209795874, 1, -1, 1, 1, -1, 1, 1, 1, 1, -1, 1, -1, 1]","[0.5815424184107527, 1.4884521406398266, -1.7456817518517522, 1.9599039000199134, 1.0704236340094981, 1.4690090047286004, -1.1004751409111666, 1.286460004495415, 1.6895902934542324, 1.2090530486124336, 1.9924512893366702, -0.006674643712919259, 1.6994354818602169, -1.03929932657753, 0.4984476454412783, 0.07285969942418857, -0.9565862234322051, -0.1481506544894906, -0.4755778262979149, -1.5522652110423025, -0.1884949298824421, -1.1026007974718601, -0.35787338190967577, -0.9666695591016446, 1.4565508032477545, 0.4705944887678011, -1.0798587116283374, 0.8768642807884008, 2.5735806907913537, -1.625995181253563, -0.6597750306171908, -0.43271625374226774, 0.5958278346577757, -1.0512584852353322, -0.6344951100479785, 1.2651495508456447, -1.8872465242360486, -2.706523483185099, 1.3455139750016798, -2.542894209795874, 1, -1, 1, 1, -1, 1, 1, 1, 1, -1, 1, -1, 1]",8
6.018319450253907,5.897106131202326,"[0.5536062215332687, 0.17096603687654977, -0.599482783638067, -1.6430992147014596, -1.2548891496980792, 1.4690090047286004, -1.1004751409111666, 1.286460004495415, 1.6895902934542324, -0.8222611464433678, 1.28278170331224, 0.12868842378812273, 1.2313073732563389, 1.20993263509013, -1.5338498477078006, -0.09695755229404712, -0.6042399728397487, -0.3729542310795899, 0.9624808599800052, -0.9995517485455929, -1.4925803513002165, -0.7524446785308563, 0.24712114511818006, -0.8474127893896164, -0.7016152038136132, 0.555847101749761, 1.0101703340449135, 0.436081916487705, 0.8093422656647902, -2.678346106595621, -2.43189813050368, -1.1190100565627685, -2.9446108084858094, 1.2626013682717696, -1.8872788578846975, 1.4041229720428428, -0.9058360725581278, -1.7881082883667692, 2.5136653804108775, 0.6259302095511821, 1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 1, -1, -1]","[0.5815424184107527, 1.4884521406398266, -1.7456817518517522, 1.9599039000199134, 1.0704236340094981, 1.4690090047286004, -1.1004751409111666, 1.286460004495415, 1.6895902934542324, 1.2090530486124336, 1.9924512893366702, -0.006674643712919259, 1.6994354818602169, -1.03929932657753, 0.4984476454412783, 0.07285969942418857, -0.9565862234322051, -0.1481506544894906, -0.4755778262979149, -1.5522652110423025, -0.1884949298824421, -1.1026007974718601, -0.35787338190967577, -0.9666695591016446, 1.4565508032477545, 0.4705944887678011, -1.0798587116283374, 0.8768642807884008, 2.5735806907913537, -1.625995181253563, -0.6597750306171908, -0.43271625374226774, 0.5958278346577757, -1.0512584852353322, -0.6344951100479785, 1.2651495508456447, -1.8872465242360486, -2.706523483185099, 1.3455139750016798, -2.542894209795874, 1, -1, 1, 1, -1, 1, 1, 1, 1, -1, 1, -1, 1]",9
6.0893703557580965,6.0893703557580965,"[0.9547122039600817, 0.6170528956044223, -1.6911759417103092, -1.1073818305244876, 1.5728239854378159, -0.8795661012635452, 1.1338762787395593, 1.6921935973975883, -0.7623435562250478, -1.9377882508831417, 0.5067322379738557, 0.14822380622660347, 0.3044946306306109, 0.32771294185004374, -0.8001066008155362, -0.6477586670187733, -0.6779745834605254, 0.02469002382272345, -0.24610115651496534, 1.4737843551388852, -0.3638638656061124, 1.2233354004457828, 0.46989995588229805, 1.4130240962481766, -0.42396698123781973, 1.3238933612877295, 1.5367850550405704, -1.2092048302138703, 1.658030982828489, 1.4529632438389886, 2.6253916842983784, -0.5288475789642235, -1.3741390304854242, 1.392114929443066, 1.0803737653700054, -0.4373802969619516, 1.3626807294682353, 0.5881858163100127, 2.718515454920314, -2.7382518263724376, -1, 1, -1, -1, 1, -1, -1, 1, -1, 1, -1, -1, -1]","[0.9547122039600817, 0.6170528956044223, -1.6911759417103092, -1.1073818305244876, 1.5728239854378159, -0.8795661012635452, 1.1338762787395593, 1.6921935973975883, -0.7623435562250478, -1.9377882508831417, 0.5067322379738557, 0.14822380622660347, 0.3044946306306109, 0.32771294185004374, -0.8001066008155362, -0.6477586670187733, -0.6779745834605254, 0.02469002382272345, -0.24610115651496534, 1.4737843551388852, -0.3638638656061124, 1.2233354004457828, 0.46989995588229805, 1.4130240962481766, -0.42396698123781973, 1.3238933612877295, 1.5367850550405704, -1.2092048302138703, 1.658030982828489, 1.4529632438389886, 2.6253916842983784, -0.5288475789642235, -1.3741390304854242, 1.392114929443066, 1.0803737653700054, -0.4373802969619516, 1.3626807294682353, 0.5881858163100127, 2.718515454920314, -2.7382518263724376, -1, 1, -1, -1, 1, -1, -1, 1, -1, 1, -1, -1, -1]",10
