generation,best_fitness_ever,best_fitness,best_params,best_iparams_ever
1,5.3365508713421255,5.3365508713421255,"[0.6911428378130939, -1.3136558716839821, 1.9337621684635362, 0.6881872970242835, 1.3700858397013964, 1.2920199596637358, 1.925796263166693, 0.9155131507967398, -1.5626034885282563, -0.6872966495940465, 0.3874305286451172, -1.1683150543049106, -0.34312432674796, -0.35493254366474103, -1.1422088843436011, -0.25883236346902794, 1.5112063774442848, -0.03688496088788984, -1.4273370669181493]","[0.6911428378130939, -1.3136558716839821, 1.9337621684635362, 0.6881872970242835, 1.3700858397013964, 1.2920199596637358, 1.925796263166693, 0.9155131507967398, -1.5626034885282563, -0.6872966495940465, 0.3874305286451172, -1.1683150543049106, -0.34312432674796, -0.35493254366474103, -1.1422088843436011, -0.25883236346902794, 1.5112063774442848, -0.03688496088788984, -1.4273370669181493]"
5.728048741117955,5.728048741117955,"[0.22988830240739572, -1.3136558716839821, 1.9337621684635362, 0.6881872970242835, 1.3700858397013964, 1.2920199596637358, 1.925796263166693, 0.9155131507967398, -1.5626034885282563, -0.6872966495940465, 0.3874305286451172, -1.1683150543049106, -0.34312432674796, -0.35493254366474103, -1.1422088843436011, -0.25883236346902794, 0.5626370763527886, 1.3502642892301382, 0.5004371146540851]",2,"[0.22988830240739572, -1.3136558716839821, 1.9337621684635362, 0.6881872970242835, 1.3700858397013964, 1.2920199596637358, 1.925796263166693, 0.9155131507967398, -1.5626034885282563, -0.6872966495940465, 0.3874305286451172, -1.1683150543049106, -0.34312432674796, -0.35493254366474103, -1.1422088843436011, -0.25883236346902794, 0.5626370763527886, 1.3502642892301382, 0.5004371146540851]"
