best_params,generation,best_fitness,best_fitness_ever,best_iparams_ever
"[0.2501452062730734, -1.757434893293743, -0.27390522304076603, -0.8854883623707375, 1.179346142358193, -1.2659610962364605, -0.020157860798188043, 0.11600666445564434, -0.7047543995126411, -0.7482197256671479, -0.43937148736197673, -1.3522652222868252, 0.9954811804082815, -0.36961008110835714, -1.4726488245834886, 0.09812807182678918, -0.3127508652263906, -0.05588028260538347, -0.5436394532338997, -2.6551504921558955, -2.460292854507913, -3.1192867299065155, -2.0149281415637543, 0.486983355232244, 2.854241789935666, -0.052550827409343484, 1.6877377238665092, -3.0405934587955117, -1, -1, 1, 1, -1, -1, -1, -1, -1]",1,5.305229714865176,5.305229714865176,"[0.2501452062730734, -1.757434893293743, -0.27390522304076603, -0.8854883623707375, 1.179346142358193, -1.2659610962364605, -0.020157860798188043, 0.11600666445564434, -0.7047543995126411, -0.7482197256671479, -0.43937148736197673, -1.3522652222868252, 0.9954811804082815, -0.36961008110835714, -1.4726488245834886, 0.09812807182678918, -0.3127508652263906, -0.05588028260538347, -0.5436394532338997, -2.6551504921558955, -2.460292854507913, -3.1192867299065155, -2.0149281415637543, 0.486983355232244, 2.854241789935666, -0.052550827409343484, 1.6877377238665092, -3.0405934587955117, -1, -1, 1, 1, -1, -1, -1, -1, -1]"
6.1525424243616635,"[0.2501452062730734, -1.757434893293743, -0.27390522304076603, -0.8854883623707375, 1.179346142358193, -1.2659610962364605, -0.020157860798188043, 0.11600666445564434, -0.7047543995126411, -0.7482197256671479, -0.43937148736197673, 0.39151951450271216, 1.1908170855069002, -0.1459106635630456, 1.5152942315651163, -1.1629513296927219, 0.7597995221249478, 0.31961840134119224, 0.7010720138471678, -2.6551504921558955, -2.460292854507913, -3.1192867299065155, -2.0149281415637543, 0.486983355232244, 2.862453302581428, -0.052550827409343484, 1.6877377238665092, -3.0405934587955117, -1, -1, 1, 1, -1, -1, -1, -1, -1]",2,6.1525424243616635,"[0.2501452062730734, -1.757434893293743, -0.27390522304076603, -0.8854883623707375, 1.179346142358193, -1.2659610962364605, -0.020157860798188043, 0.11600666445564434, -0.7047543995126411, -0.7482197256671479, -0.43937148736197673, 0.39151951450271216, 1.1908170855069002, -0.1459106635630456, 1.5152942315651163, -1.1629513296927219, 0.7597995221249478, 0.31961840134119224, 0.7010720138471678, -2.6551504921558955, -2.460292854507913, -3.1192867299065155, -2.0149281415637543, 0.486983355232244, 2.862453302581428, -0.052550827409343484, 1.6877377238665092, -3.0405934587955117, -1, -1, 1, 1, -1, -1, -1, -1, -1]"
