best_fitness,generation,best_iparams_ever,best_params,best_fitness_ever
5.556489648824441,1,"[0.5113964671743012, 0.9500020526282329, 0.08416850935436715, -1.9624891241666562, -1.175535688640272, -1.1686631312850486, -1.903062203023512, -0.4547940613742867, -1.0479871948759207, -0.23732590484041927, 0.9635071762665923, 1.883473465619904, 0.20307007052341053, -1.418695122639133, 1.2621304558458917, 1.3330611062764026, 0.8743426405726815, -0.8395328644841518, 0.07684444843395766, -0.798646965913895, 0.4926019274996847, 1.2770837478070862, 0.6350022492724805, 0.04299293480336175, 0.6379026783472255, -1.0485918971161952, -0.20586450205322282]","[0.5113964671743012, 0.9500020526282329, 0.08416850935436715, -1.9624891241666562, -1.175535688640272, -1.1686631312850486, -1.903062203023512, -0.4547940613742867, -1.0479871948759207, -0.23732590484041927, 0.9635071762665923, 1.883473465619904, 0.20307007052341053, -1.418695122639133, 1.2621304558458917, 1.3330611062764026, 0.8743426405726815, -0.8395328644841518, 0.07684444843395766, -0.798646965913895, 0.4926019274996847, 1.2770837478070862, 0.6350022492724805, 0.04299293480336175, 0.6379026783472255, -1.0485918971161952, -0.20586450205322282]",5.556489648824441
"[0.5113964671743012, 0.9500020526282329, 0.08416850935436715, -1.9624891241666562, -1.175535688640272, -1.1686631312850486, -1.903062203023512, -0.4547940613742867, -1.0479871948759207, -0.23732590484041927, 0.9635071762665923, 1.883473465619904, 0.20307007052341053, -1.418695122639133, 1.2621304558458917, 1.3330611062764026, 0.8743426405726815, -0.8395328644841518, 0.07684444843395766, -0.798646965913895, 0.4926019274996847, 1.2770837478070862, 0.6350022492724805, 0.04299293480336175, 0.6379026783472255, -1.0485918971161952, -0.20586450205322282]",5.556489648824441,5.539080600649981,"[0.5113964671743012, 0.9500020526282329, 0.08416850935436715, -1.9624891241666562, -1.175535688640272, -1.1686631312850486, -1.903062203023512, -0.4547940613742867, -1.0479871948759207, -0.23732590484041927, 0.9635071762665923, 1.883473465619904, 0.20307007052341053, -1.418695122639133, 1.2621304558458917, 1.3330611062764026, 0.8743426405726815, -0.8395328644841518, 0.07684444843395766, -0.798646965913895, 0.4926019274996847, 1.2770837478070862, 0.6350022492724805, 0.04299293480336175, 0.6379026783472255, -1.0485918971161952, -0.20586450205322282]",2
